Pontos,Lat,Long,Pequenos,Médios,Grandes,Cones,Data,anotador
266,-27.6167138888889,-48.5002294444444,1,2,0,0,2023-11-07,Cure
267,-27.6167125,-48.5002269444444,1,1,0,0,2023-11-07,Cure
268,-27.6167147222222,-48.5002263888889,2,1,0,0,2023-11-07,Cure
269,-27.6167161111111,-48.5002269444444,2,1,0,0,2023-11-07,Cure
270,-27.6167161111111,-48.5002272222222,2,2,0,0,2023-11-07,Cure
271,-27.6167125,-48.5002233333333,0,1,0,0,2023-11-07,Cure
272,-27.6167144444444,-48.5002222222222,0,0,1,0,2023-11-07,Cure
273,-27.6167144444444,-48.5002191666667,4,1,1,0,2023-11-07,Cure
274,-27.6167152777778,-48.5002166666667,1,0,0,0,2023-11-07,Cure
275,-27.6167161111111,-48.500215,1,0,0,0,2023-11-07,Cure
276,-27.6167175,-48.5002138888889,2,0,0,0,2023-11-07,Cure
277,-27.6167194444444,-48.5002155555556,10,7,0,0,2023-11-07,Cure
278,-27.6167286111111,-48.5002144444444,1,2,0,0,2023-11-07,Cure
279,-27.6167286111111,-48.5002144444444,0,1,1,0,2023-11-07,Cure
280,-27.6167230555556,-48.5002136111111,1,0,0,0,2023-11-07,Cure
281,-27.6167255555556,-48.5002127777778,15,7,0,0,2023-11-07,Cure
282,-27.6167294444444,-48.5002136111111,0,1,2,0,2023-11-07,Cure
283,-27.6167322222222,-48.5002144444444,0,0,1,0,2023-11-07,Cure
284,-27.6167344444444,-48.500215,1,0,0,0,2023-11-07,Cure
285,-27.6167341666667,-48.5002172222222,0,0,1,0,2023-11-07,Cure
286,-27.6167358333333,-48.5002188888889,0,0,1,0,2023-11-07,Cure
287,-27.6167369444444,-48.5002194444445,1,0,1,0,2023-11-07,Cure
288,-27.6167372222222,-48.5002211111111,0,0,1,0,2023-11-07,Cure
289,-27.6166905555556,-48.5166883333333,0,0,1,0,2023-11-07,Cure
290,-27.6166905555556,-48.5166883333333,1,0,0,0,2023-11-07,Cure
291,-27.6166944444444,-48.5167047222222,5,8,13,13,2023-11-08,Cure
292,-27.6166961111111,-48.5167063888889,3,8,8,8,2023-11-08,Cure
293,-27.6166972222222,-48.5167047222222,1,2,3,2,2023-11-08,Cure
294,-27.6166955555556,-48.5167036111111,0,2,9,8,2023-11-08,Cure
295,-27.6166955555556,-48.5167008333333,0,0,5,4,2023-11-08,Cure
296,-27.6166955555556,-48.5166994444444,0,2,5,5,2023-11-08,Cure
297,-27.6166952777778,-48.5166975,0,0,6,6,2023-11-08,Cure
298,-27.6166983333333,-48.5166994444444,0,0,7,7,2023-11-08,Cure
299,-27.6167,-48.5167013888889,1,2,6,6,2023-11-08,Cure
300,-27.6167002777778,-48.5167058333333,0,0,7,0,2023-11-08,Cure
301,-27.6167025,-48.5167027777778,1,2,12,8,2023-11-08,Cure
302,-27.6167027777778,-48.5167027777778,0,3,16,12,2023-11-08,Cure
303,-27.6166880555556,-48.5167022222222,4,5,1,1,2023-11-08,Cure
304,-27.6167033333333,-48.5167016666667,55,1,5,4,2023-11-09,Cure
305,-27.6167044444444,-48.5167013888889,4,0,1,0,2023-11-09,Cure
306,-27.6167055555556,-48.5167011111111,0,0,2,1,2023-11-09,Cure
307,-27.6167122222222,-48.5166980555556,1,0,1,1,2023-11-09,Cure
308,-27.6167088888889,-48.5166905555556,1,0,0,0,2023-11-09,Cure
309,-27.6166927777778,-48.5167133333333,0,2,0,0,2023-11-09,Cure
310,-27.6166691666667,-48.5167247222222,6,8,0,0,2023-11-09,Cure
311,-27.6166669444444,-48.5167269444444,2,1,1,1,2023-11-09,Cure
312,-27.6202758333333,-48.5167283333333,0,0,4,4,2023-11-09,Cure
313,-27.6222733333333,-48.5167252777778,0,0,1,1,2023-11-09,Cure
314,-27.6202738888889,-48.5167286111111,1,1,0,0,2023-11-09,Cure
315,-27.6166730555556,-48.5167283333333,0,3,1,1,2023-11-09,Cure
316,-27.6166669444444,-48.5167372222222,0,0,3,2,2023-11-09,Cure
